date,rate,diff,lag_1,lag_2,lag_6,lag_8,lag_11,lag_13,lag_15,lag_16,lag_25,lag_32,lag_34,rmean_4,rstd_4,rmean_8,rstd_8,rmean_12,rstd_12,ret_3,ret_7,ret_14,ret_21,ret_30,ret_60,ret_90,month,day,year
1995-07-14,82.5,,,,,,,,,,,,,,,,,,,,,,,,,,7,14,1995
1995-07-21,82.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,7,21,1995
1995-07-28,84.5,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,7,28,1995
1995-08-04,83.8,-0.7000000000000028,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,8,4,1995
1995-08-11,83.0,-0.7999999999999972,-0.7000000000000028,2.0,,,,,,,,,,,,,,,,0.0,,,,,,,8,11,1995
1995-08-18,84.6,1.5999999999999943,-0.7999999999999972,-0.7000000000000028,,,,,,,,,,0.125,1.2996794476587934,,,,,-0.20000000000000284,,,,,,,8,18,1995
1995-08-25,85.0,0.4000000000000057,1.5999999999999943,-0.7999999999999972,,,,,,,,,,0.5249999999999986,1.481834448693014,,,,,-1.5714285714285774,,,,,,,8,25,1995
1995-09-01,84.8,-0.20000000000000284,0.4000000000000057,1.5999999999999943,0.0,,,,,,,,,0.125,1.1236102527122096,,,,,-0.7499999999999956,,,,,,,9,1,1995
1995-09-08,85.0,0.20000000000000284,-0.20000000000000284,0.4000000000000057,2.0,,,,,,,,,0.25,1.024695076595957,,,,,-0.8749999999999978,0.0,,,,,,9,8,1995
1995-09-15,84.4,-0.5999999999999943,0.20000000000000284,-0.20000000000000284,-0.7000000000000028,0.0,,,,,,,,0.5,0.774596669241481,0.3125,1.0105691465703859,,,-2.4999999999999645,-1.2999999999999972,,,,,,9,15,1995
1995-09-22,83.5,-0.9000000000000057,-0.5999999999999943,0.20000000000000284,-0.7999999999999972,2.0,,,,,,,,-0.04999999999999716,0.4434711565216694,0.2375000000000007,1.058216153992853,,,3.4999999999999645,0.2857142857142887,,,,,,9,22,1995
1995-09-29,83.2,-0.29999999999999716,-0.9000000000000057,-0.5999999999999943,1.5999999999999943,-0.7000000000000028,,,,,,,,-0.375,0.47871355387817094,-0.125,0.8430387213611747,,,-2.4999999999999645,-0.6250000000000022,,,,,,9,29,1995
1995-10-06,84.0,0.7999999999999972,-0.29999999999999716,-0.9000000000000057,0.4000000000000057,-0.7999999999999972,0.0,,,,,,,-0.3999999999999986,0.4690415759823455,-0.07499999999999929,0.8154753215150033,,,-2.333333333333341,-0.5,,,,,,10,6,1995
1995-10-13,84.1,0.09999999999999432,0.7999999999999972,-0.29999999999999716,-0.20000000000000284,1.5999999999999943,2.0,,,,,,,-0.25,0.7416198487095657,0.125,0.8084376466811937,0.125,0.9362643371884394,-1.111111111111104,-0.7500000000000178,,,,,,10,13,1995
1995-10-20,84.7,0.6000000000000085,0.09999999999999432,0.7999999999999972,0.20000000000000284,0.4000000000000057,-0.7000000000000028,0.0,,,,,,-0.07500000000000284,0.7135591542869217,-0.0625,0.5501623137116642,0.13333333333333286,0.935495331442928,-3.0000000000000475,-4.0,,,,,,10,20,1995
